"","X.x","Entry","X.y","Entry.name","Status","Protein.names","Gene.names","Organism","Length","Tissue.specificity","Induction","Developmental.stage","V2"
"486","lcl|NW_011934594.1_cds_XP_011444680.1_228","Q9JJ05",87,"C1GLT_RAT","reviewed","Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1 (EC 2.4.1.122) (Core 1 O-glycan T-synthase) (Core 1 UDP-galactose:N-acetylgalactosamine-alpha-R beta 1,3-galactosyltransferase 1) (Core 1 beta1,3-galactosyltransferase 1) (C1GalT1) (Core 1 beta3-Gal-T1)","C1galt1","Rattus norvegicus (Rat)",363,"","","","LOC105340337"
"487","lcl|NW_011934594.1_cds_XP_011444795.1_230","P58317",88,"ZN121_HUMAN","reviewed","Zinc finger protein 121 (Zinc finger protein 20)","ZNF121 ZNF20","Homo sapiens (Human)",390,"","","","LOC105340423"
"488","lcl|NW_011934594.1_cds_XP_011444795.1_230","P58317",88,"ZN121_HUMAN","reviewed","Zinc finger protein 121 (Zinc finger protein 20)","ZNF121 ZNF20","Homo sapiens (Human)",390,"","","","LOC105340423"
"489","lcl|NW_011934594.1_cds_XP_011444795.1_230","P58317",88,"ZN121_HUMAN","reviewed","Zinc finger protein 121 (Zinc finger protein 20)","ZNF121 ZNF20","Homo sapiens (Human)",390,"","","","LOC105340423"
"49","lcl|NW_011934516.1_cds_XP_019923891.1_11","P32189",26,"GLPK_HUMAN","reviewed","Glycerol kinase (GK) (Glycerokinase) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase)","GK","Homo sapiens (Human)",559,"TISSUE SPECIFICITY: Highly expressed in the liver, kidney and testis. Isoform 2 and isoform 3 are expressed specifically in testis and fetal liver, but not in the adult liver.","","","LOC105328737"
"490","lcl|NW_011934594.1_cds_XP_011444795.1_230","P58317",88,"ZN121_HUMAN","reviewed","Zinc finger protein 121 (Zinc finger protein 20)","ZNF121 ZNF20","Homo sapiens (Human)",390,"","","","LOC105340423"
"491","lcl|NW_011934594.1_cds_XP_011444795.1_230","P58317",88,"ZN121_HUMAN","reviewed","Zinc finger protein 121 (Zinc finger protein 20)","ZNF121 ZNF20","Homo sapiens (Human)",390,"","","","LOC105340423"
"492","lcl|NW_011934594.1_cds_XP_011444795.1_230","P58317",88,"ZN121_HUMAN","reviewed","Zinc finger protein 121 (Zinc finger protein 20)","ZNF121 ZNF20","Homo sapiens (Human)",390,"","","","LOC105340423"
"493","lcl|NW_011934594.1_cds_XP_011444795.1_230","P58317",88,"ZN121_HUMAN","reviewed","Zinc finger protein 121 (Zinc finger protein 20)","ZNF121 ZNF20","Homo sapiens (Human)",390,"","","","LOC105340423"
"494","lcl|NW_011934594.1_cds_XP_011444795.1_230","P58317",88,"ZN121_HUMAN","reviewed","Zinc finger protein 121 (Zinc finger protein 20)","ZNF121 ZNF20","Homo sapiens (Human)",390,"","","","LOC105340423"
"495","lcl|NW_011934594.1_cds_XP_011444966.1_231","P58317",88,"ZN121_HUMAN","reviewed","Zinc finger protein 121 (Zinc finger protein 20)","ZNF121 ZNF20","Homo sapiens (Human)",390,"","","","LOC105340423"
"496","lcl|NW_011934594.1_cds_XP_011444966.1_231","P58317",88,"ZN121_HUMAN","reviewed","Zinc finger protein 121 (Zinc finger protein 20)","ZNF121 ZNF20","Homo sapiens (Human)",390,"","","","LOC105340423"
"497","lcl|NW_011934594.1_cds_XP_011444966.1_231","P58317",88,"ZN121_HUMAN","reviewed","Zinc finger protein 121 (Zinc finger protein 20)","ZNF121 ZNF20","Homo sapiens (Human)",390,"","","","LOC105340423"
"498","lcl|NW_011934594.1_cds_XP_011444966.1_231","P58317",88,"ZN121_HUMAN","reviewed","Zinc finger protein 121 (Zinc finger protein 20)","ZNF121 ZNF20","Homo sapiens (Human)",390,"","","","LOC105340423"
"499","lcl|NW_011934594.1_cds_XP_011444966.1_231","P58317",88,"ZN121_HUMAN","reviewed","Zinc finger protein 121 (Zinc finger protein 20)","ZNF121 ZNF20","Homo sapiens (Human)",390,"","","","LOC105340423"
"5","lcl|NW_011934501.1_cds_XP_011426503.1_1","Q5RA61",5,"MOC2B_PONAB","reviewed","Molybdopterin synthase catalytic subunit (EC 2.8.1.12) (Molybdenum cofactor synthesis protein 2 large subunit) (Molybdenum cofactor synthesis protein 2B) (MOCS2B)","MOCS2","Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)",172,"","","","LOC105317034"
"50","lcl|NW_011934516.1_cds_XP_019923891.1_11","Q64516",24,"GLPK_MOUSE","reviewed","Glycerol kinase (GK) (Glycerokinase) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase)","Gk Gyk","Mus musculus (Mouse)",559,"","","","LOC105328737"
"500","lcl|NW_011934594.1_cds_XP_011444966.1_231","P58317",88,"ZN121_HUMAN","reviewed","Zinc finger protein 121 (Zinc finger protein 20)","ZNF121 ZNF20","Homo sapiens (Human)",390,"","","","LOC105340423"
"501","lcl|NW_011934594.1_cds_XP_011444966.1_231","P58317",88,"ZN121_HUMAN","reviewed","Zinc finger protein 121 (Zinc finger protein 20)","ZNF121 ZNF20","Homo sapiens (Human)",390,"","","","LOC105340423"
"502","lcl|NW_011934594.1_cds_XP_011444966.1_231","P58317",88,"ZN121_HUMAN","reviewed","Zinc finger protein 121 (Zinc finger protein 20)","ZNF121 ZNF20","Homo sapiens (Human)",390,"","","","LOC105340423"
"503","lcl|NW_011934594.1_cds_XP_011445038.1_229","P58317",88,"ZN121_HUMAN","reviewed","Zinc finger protein 121 (Zinc finger protein 20)","ZNF121 ZNF20","Homo sapiens (Human)",390,"","","","LOC105340423"
"504","lcl|NW_011934594.1_cds_XP_011445038.1_229","P58317",88,"ZN121_HUMAN","reviewed","Zinc finger protein 121 (Zinc finger protein 20)","ZNF121 ZNF20","Homo sapiens (Human)",390,"","","","LOC105340423"
"505","lcl|NW_011934594.1_cds_XP_011445038.1_229","P58317",88,"ZN121_HUMAN","reviewed","Zinc finger protein 121 (Zinc finger protein 20)","ZNF121 ZNF20","Homo sapiens (Human)",390,"","","","LOC105340423"
"506","lcl|NW_011934594.1_cds_XP_011445038.1_229","P58317",88,"ZN121_HUMAN","reviewed","Zinc finger protein 121 (Zinc finger protein 20)","ZNF121 ZNF20","Homo sapiens (Human)",390,"","","","LOC105340423"
"507","lcl|NW_011934594.1_cds_XP_011445038.1_229","P58317",88,"ZN121_HUMAN","reviewed","Zinc finger protein 121 (Zinc finger protein 20)","ZNF121 ZNF20","Homo sapiens (Human)",390,"","","","LOC105340423"
"508","lcl|NW_011934594.1_cds_XP_011445038.1_229","P58317",88,"ZN121_HUMAN","reviewed","Zinc finger protein 121 (Zinc finger protein 20)","ZNF121 ZNF20","Homo sapiens (Human)",390,"","","","LOC105340423"
"509","lcl|NW_011934594.1_cds_XP_011445038.1_229","P58317",88,"ZN121_HUMAN","reviewed","Zinc finger protein 121 (Zinc finger protein 20)","ZNF121 ZNF20","Homo sapiens (Human)",390,"","","","LOC105340423"
"51","lcl|NW_011934520.1_cds_XP_011429578.1_13","A2A690",32,"TANC2_MOUSE","reviewed","Protein TANC2 (Tetratricopeptide repeat, ankyrin repeat and coiled-coil domain-containing protein 2)","Tanc2 Kiaa1148","Mus musculus (Mouse)",1994,"","","","LOC105329584"
"510","lcl|NW_011934594.1_cds_XP_011445038.1_229","P58317",88,"ZN121_HUMAN","reviewed","Zinc finger protein 121 (Zinc finger protein 20)","ZNF121 ZNF20","Homo sapiens (Human)",390,"","","","LOC105340423"
"511","lcl|NW_011934594.1_cds_XP_011445262.1_233","Q96RT8",89,"GCP5_HUMAN","reviewed","Gamma-tubulin complex component 5 (GCP-5)","TUBGCP5 GCP5 KIAA1899","Homo sapiens (Human)",1024,"TISSUE SPECIFICITY: Widely expressed, with highest levels in heart and skeletal muscle and moderate levels in brain. {ECO:0000269|PubMed:14508708}.","","","LOC105340738"
"512","lcl|NW_011934594.1_cds_XP_011445336.1_234","Q96RT8",89,"GCP5_HUMAN","reviewed","Gamma-tubulin complex component 5 (GCP-5)","TUBGCP5 GCP5 KIAA1899","Homo sapiens (Human)",1024,"TISSUE SPECIFICITY: Widely expressed, with highest levels in heart and skeletal muscle and moderate levels in brain. {ECO:0000269|PubMed:14508708}.","","","LOC105340738"
"513","lcl|NW_011934595.1_cds_XP_011446775.1_249","P50430",90,"ARSB_RAT","reviewed","Arylsulfatase B (ASB) (EC 3.1.6.12) (N-acetylgalactosamine-4-sulfatase) (G4S)","Arsb","Rattus norvegicus (Rat)",528,"","","","LOC105341749"
"514","lcl|NW_011934598.1_cds_XP_011447601.1_256","Q96MU7",91,"YTDC1_HUMAN","reviewed","YTH domain-containing protein 1 (Splicing factor YT521) (YT521-B)","YTHDC1 KIAA1966 YT521","Homo sapiens (Human)",727,"","","","LOC105342344"
"515","lcl|NW_011934598.1_cds_XP_011447718.1_259","Q8R000",92,"OSTA_MOUSE","reviewed","Organic solute transporter subunit alpha (OST-alpha) (Solute carrier family 51 subunit alpha)","Slc51a Osta","Mus musculus (Mouse)",340,"TISSUE SPECIFICITY: Present at high levels in ileum. In ileum, it is restricted to the apical domain on the mature villus enterocytes with little detectable expression in the goblet cells or crypt enterocytes (at protein level). Expressed in kidney but not in heart, brain, liver, spleen, embryo, lung, thymus, ovary nor testis. {ECO:0000269|PubMed:15563450, ECO:0000269|PubMed:16317684}.","INDUCTION: Positively regulated via the bile acid-activated nuclear receptor farnesoid X receptor (NR1H4/FXR). Up-regulated in mice lacking Mrp4, but it is unable to compensate for the absence of Mrp4. {ECO:0000269|PubMed:16357058, ECO:0000269|PubMed:16628672}.","","LOC105342432"
"516","lcl|NW_011934598.1_cds_XP_011447872.1_258","Q8R000",92,"OSTA_MOUSE","reviewed","Organic solute transporter subunit alpha (OST-alpha) (Solute carrier family 51 subunit alpha)","Slc51a Osta","Mus musculus (Mouse)",340,"TISSUE SPECIFICITY: Present at high levels in ileum. In ileum, it is restricted to the apical domain on the mature villus enterocytes with little detectable expression in the goblet cells or crypt enterocytes (at protein level). Expressed in kidney but not in heart, brain, liver, spleen, embryo, lung, thymus, ovary nor testis. {ECO:0000269|PubMed:15563450, ECO:0000269|PubMed:16317684}.","INDUCTION: Positively regulated via the bile acid-activated nuclear receptor farnesoid X receptor (NR1H4/FXR). Up-regulated in mice lacking Mrp4, but it is unable to compensate for the absence of Mrp4. {ECO:0000269|PubMed:16357058, ECO:0000269|PubMed:16628672}.","","LOC105342432"
"517","lcl|NW_011934598.1_cds_XP_011448074.1_261","Q9BT81",93,"SOX7_HUMAN","reviewed","Transcription factor SOX-7","SOX7","Homo sapiens (Human)",388,"TISSUE SPECIFICITY: Widely expressed in adult and fetal tissues. Present both in mesenchymal and epithelial cells in some adult tissues, including colon. Tends to be down-regulated in prostate adenocarcinomas and colorectal tumors due to promoter hypermethylation. {ECO:0000269|PubMed:11691915, ECO:0000269|PubMed:18819930}.","","DEVELOPMENTAL STAGE: In 8 week-old embryo, expressed in brain, tongue, heart, liver, lung and vertebrae. {ECO:0000269|PubMed:11691915}.","LOC105342716"
"518","lcl|NW_011934598.1_cds_XP_011448182.1_262","Q9BHM6",94,"OCDH_PECMA","reviewed","Octopine dehydrogenase (OcDH) (EC 1.5.1.11)","odh1","Pecten maximus (King scallop) (Pilgrim's clam)",399,"","","","LOC105342796"
"519","lcl|NW_011934598.1_cds_XP_011448414.1_255","Q96MU7",91,"YTDC1_HUMAN","reviewed","YTH domain-containing protein 1 (Splicing factor YT521) (YT521-B)","YTHDC1 KIAA1966 YT521","Homo sapiens (Human)",727,"","","","LOC105342945"
"52","lcl|NW_011934520.1_cds_XP_011429578.1_13","Q9HCD6",31,"TANC2_HUMAN","reviewed","Protein TANC2 (Tetratricopeptide repeat, ankyrin repeat and coiled-coil domain-containing protein 2)","TANC2 KIAA1148 KIAA1636","Homo sapiens (Human)",1990,"","","","LOC105329584"
"520","lcl|NW_011934598.1_cds_XP_019928314.1_257","Q8R000",92,"OSTA_MOUSE","reviewed","Organic solute transporter subunit alpha (OST-alpha) (Solute carrier family 51 subunit alpha)","Slc51a Osta","Mus musculus (Mouse)",340,"TISSUE SPECIFICITY: Present at high levels in ileum. In ileum, it is restricted to the apical domain on the mature villus enterocytes with little detectable expression in the goblet cells or crypt enterocytes (at protein level). Expressed in kidney but not in heart, brain, liver, spleen, embryo, lung, thymus, ovary nor testis. {ECO:0000269|PubMed:15563450, ECO:0000269|PubMed:16317684}.","INDUCTION: Positively regulated via the bile acid-activated nuclear receptor farnesoid X receptor (NR1H4/FXR). Up-regulated in mice lacking Mrp4, but it is unable to compensate for the absence of Mrp4. {ECO:0000269|PubMed:16357058, ECO:0000269|PubMed:16628672}.","","LOC105342432"
"521","lcl|NW_011934601.1_cds_XP_019928729.1_271","A2AVA0",95,"SVEP1_MOUSE","reviewed","Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 (Polydom)","Svep1","Mus musculus (Mouse)",3567,"TISSUE SPECIFICITY: Present in stromal osteogenic cells. Expressed at much higher level in stromal osteogenic cells at low density compared to cells grown at higher densities (at protein level). Highly expressed in lung and placenta. Also expressed in bone and periosteum, but not in cartilage and skeletal muscle. Weakly or not expressed in other tissues. {ECO:0000269|PubMed:11062057, ECO:0000269|PubMed:16206243}.","","DEVELOPMENTAL STAGE: Expressed from 11 dpc to 17 dpc in embryos. {ECO:0000269|PubMed:11062057}.","LOC109620529"
"522","lcl|NW_011934601.1_cds_XP_019928729.1_271","A2AVA0",95,"SVEP1_MOUSE","reviewed","Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 (Polydom)","Svep1","Mus musculus (Mouse)",3567,"TISSUE SPECIFICITY: Present in stromal osteogenic cells. Expressed at much higher level in stromal osteogenic cells at low density compared to cells grown at higher densities (at protein level). Highly expressed in lung and placenta. Also expressed in bone and periosteum, but not in cartilage and skeletal muscle. Weakly or not expressed in other tissues. {ECO:0000269|PubMed:11062057, ECO:0000269|PubMed:16206243}.","","DEVELOPMENTAL STAGE: Expressed from 11 dpc to 17 dpc in embryos. {ECO:0000269|PubMed:11062057}.","LOC109620529"
"523","lcl|NW_011934603.1_cds_XP_011449554.1_273","O00399",96,"DCTN6_HUMAN","reviewed","Dynactin subunit 6 (Dynactin subunit p27) (Protein WS-3)","DCTN6 WS3","Homo sapiens (Human)",190,"TISSUE SPECIFICITY: Ubiquitous.","","","LOC105343748"
"524","lcl|NW_011934603.1_cds_XP_011449667.1_274","O75382",97,"TRIM3_HUMAN","reviewed","Tripartite motif-containing protein 3 (Brain-expressed RING finger protein) (RING finger protein 22) (RING finger protein 97)","TRIM3 BERP RNF22 RNF97","Homo sapiens (Human)",744,"TISSUE SPECIFICITY: Expressed in brain, heart, uterus and testis.","","","LOC105343834"
"525","lcl|NW_011934605.1_cds_XP_011450104.2_276","P16273",98,"PRPX_HORVU","reviewed","Pathogen-related protein","","Hordeum vulgare (Barley)",235,"","INDUCTION: By fungus Bipolaris sorokiniana infection.","","LOC105344122"
"526","lcl|NW_011934605.1_cds_XP_011450226.1_277","Q21415",99,"GLR3_CAEEL","reviewed","Glutamate receptor ionotropic, kainate glr-3","glr-3 K10D3.1","Caenorhabditis elegans",836,"TISSUE SPECIFICITY: Expressed in the intestine and in the ASER neuron (PubMed:31474366). Also expressed in the thermosensitive RIA interneuron (PubMed:11222641). {ECO:0000269|PubMed:11222641, ECO:0000269|PubMed:31474366}.","","DEVELOPMENTAL STAGE: During embryogenesis, expressed just before hatching at low levels. {ECO:0000269|PubMed:11222641}.","LOC105344203"
"527","lcl|NW_011934605.1_cds_XP_019929033.1_278","Q6YHK3",100,"CD109_HUMAN","reviewed","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)","CD109 CPAMD7","Homo sapiens (Human)",1445,"TISSUE SPECIFICITY: Widely expressed with high level in uterus, aorta, heart, lung, trachea, placenta and in fetal heart, kidney, liver, spleen and lung. Expressed by CD34(+) acute myeloid leukemia cell lines, T-cell lines, activated T-lymphoblasts, endothelial cells and activated platelets. Isoform 4 is expressed in placenta. Isoform 1 is expressed in keratinocytes and placenta. {ECO:0000269|PubMed:11861284, ECO:0000269|PubMed:14980714, ECO:0000269|PubMed:16754747}.","","","LOC105344266"
"528","lcl|NW_011934606.1_cds_XP_011450532.1_279","C0HL12",101,"AGRB1_RAT","reviewed","Adhesion G protein-coupled receptor B1 (Brain-specific angiogenesis inhibitor 1) [Cleaved into: Vasculostatin-120 (Vstat120); Vasculostatin-40 (Vstat-40)]","Adgrb1 Bai1","Rattus norvegicus (Rat)",1577,"","","","LOC105344413"
"529","lcl|NW_011934606.1_cds_XP_011450633.1_280","A2ARV4",102,"LRP2_MOUSE","reviewed","Low-density lipoprotein receptor-related protein 2 (LRP-2) (Glycoprotein 330) (gp330) (Megalin)","Lrp2","Mus musculus (Mouse)",4660,"TISSUE SPECIFICITY: In the inner ear, strongly expressed in the marginal cells of the stria vascularis (at protein level) (PubMed:17846082). In the female reproductive tract, expressed on the luminal side of the uterine epithelium (at protein level) (PubMed:16143106). In the adult brain, expressed in ependymal cells of the lateral ventricles where expression is restricted to the ependyma that faces the stem cell niche (at protein level) (PubMed:20460439). Expressed in neurons throughout the brain including in the hippocampus, limbic cortices and cerebellum (at protein level) (PubMed:20637285). In the developing optic nerve, expressed exclusively in astrocytes at 14.5 dpc, 16.5 dpc and 18.5 dpc (at protein level) (PubMed:22354480). {ECO:0000269|PubMed:16143106, ECO:0000269|PubMed:17846082, ECO:0000269|PubMed:20460439, ECO:0000269|PubMed:20637285, ECO:0000269|PubMed:22354480}.","INDUCTION: Down-regulated in the kidney by cannabinoids, such as endocannabinoid anandamide and synthetic cannabinoid HU-210. {ECO:0000269|PubMed:22841573}.","DEVELOPMENTAL STAGE: In the developing optic nerve, more strongly expressed at 14.5 dpc and 16.5 dpc than at 18.5 dpc (at protein level) (PubMed:22354480). In the embryo, expression is detected from 7.5 dpc on the apical side of the developing neural plate and persists throughout later stages of development (PubMed:22340494). After neural tube closure at 9.5 dpc, becomes progressively restricted to the midline region (PubMed:22340494). During the estrus cycle, expression is highest in metestrus II and diestrus (PubMed:16143106). {ECO:0000269|PubMed:16143106, ECO:0000269|PubMed:22340494, ECO:0000269|PubMed:22354480}.","LOC105344512"
"53","lcl|NW_011934520.1_cds_XP_011429578.1_13","F1LTE0",33,"TANC2_RAT","reviewed","Protein TANC2","Tanc2","Rattus norvegicus (Rat)",1992,"","","","LOC105329584"
"530","lcl|NW_011934606.1_cds_XP_011450633.1_280","A2ARV4",102,"LRP2_MOUSE","reviewed","Low-density lipoprotein receptor-related protein 2 (LRP-2) (Glycoprotein 330) (gp330) (Megalin)","Lrp2","Mus musculus (Mouse)",4660,"TISSUE SPECIFICITY: In the inner ear, strongly expressed in the marginal cells of the stria vascularis (at protein level) (PubMed:17846082). In the female reproductive tract, expressed on the luminal side of the uterine epithelium (at protein level) (PubMed:16143106). In the adult brain, expressed in ependymal cells of the lateral ventricles where expression is restricted to the ependyma that faces the stem cell niche (at protein level) (PubMed:20460439). Expressed in neurons throughout the brain including in the hippocampus, limbic cortices and cerebellum (at protein level) (PubMed:20637285). In the developing optic nerve, expressed exclusively in astrocytes at 14.5 dpc, 16.5 dpc and 18.5 dpc (at protein level) (PubMed:22354480). {ECO:0000269|PubMed:16143106, ECO:0000269|PubMed:17846082, ECO:0000269|PubMed:20460439, ECO:0000269|PubMed:20637285, ECO:0000269|PubMed:22354480}.","INDUCTION: Down-regulated in the kidney by cannabinoids, such as endocannabinoid anandamide and synthetic cannabinoid HU-210. {ECO:0000269|PubMed:22841573}.","DEVELOPMENTAL STAGE: In the developing optic nerve, more strongly expressed at 14.5 dpc and 16.5 dpc than at 18.5 dpc (at protein level) (PubMed:22354480). In the embryo, expression is detected from 7.5 dpc on the apical side of the developing neural plate and persists throughout later stages of development (PubMed:22340494). After neural tube closure at 9.5 dpc, becomes progressively restricted to the midline region (PubMed:22340494). During the estrus cycle, expression is highest in metestrus II and diestrus (PubMed:16143106). {ECO:0000269|PubMed:16143106, ECO:0000269|PubMed:22340494, ECO:0000269|PubMed:22354480}.","LOC105344512"
"531","lcl|NW_011934606.1_cds_XP_011450633.1_280","A2ARV4",102,"LRP2_MOUSE","reviewed","Low-density lipoprotein receptor-related protein 2 (LRP-2) (Glycoprotein 330) (gp330) (Megalin)","Lrp2","Mus musculus (Mouse)",4660,"TISSUE SPECIFICITY: In the inner ear, strongly expressed in the marginal cells of the stria vascularis (at protein level) (PubMed:17846082). In the female reproductive tract, expressed on the luminal side of the uterine epithelium (at protein level) (PubMed:16143106). In the adult brain, expressed in ependymal cells of the lateral ventricles where expression is restricted to the ependyma that faces the stem cell niche (at protein level) (PubMed:20460439). Expressed in neurons throughout the brain including in the hippocampus, limbic cortices and cerebellum (at protein level) (PubMed:20637285). In the developing optic nerve, expressed exclusively in astrocytes at 14.5 dpc, 16.5 dpc and 18.5 dpc (at protein level) (PubMed:22354480). {ECO:0000269|PubMed:16143106, ECO:0000269|PubMed:17846082, ECO:0000269|PubMed:20460439, ECO:0000269|PubMed:20637285, ECO:0000269|PubMed:22354480}.","INDUCTION: Down-regulated in the kidney by cannabinoids, such as endocannabinoid anandamide and synthetic cannabinoid HU-210. {ECO:0000269|PubMed:22841573}.","DEVELOPMENTAL STAGE: In the developing optic nerve, more strongly expressed at 14.5 dpc and 16.5 dpc than at 18.5 dpc (at protein level) (PubMed:22354480). In the embryo, expression is detected from 7.5 dpc on the apical side of the developing neural plate and persists throughout later stages of development (PubMed:22340494). After neural tube closure at 9.5 dpc, becomes progressively restricted to the midline region (PubMed:22340494). During the estrus cycle, expression is highest in metestrus II and diestrus (PubMed:16143106). {ECO:0000269|PubMed:16143106, ECO:0000269|PubMed:22340494, ECO:0000269|PubMed:22354480}.","LOC105344512"
"532","lcl|NW_011934606.1_cds_XP_011450633.1_280","A2ARV4",102,"LRP2_MOUSE","reviewed","Low-density lipoprotein receptor-related protein 2 (LRP-2) (Glycoprotein 330) (gp330) (Megalin)","Lrp2","Mus musculus (Mouse)",4660,"TISSUE SPECIFICITY: In the inner ear, strongly expressed in the marginal cells of the stria vascularis (at protein level) (PubMed:17846082). In the female reproductive tract, expressed on the luminal side of the uterine epithelium (at protein level) (PubMed:16143106). In the adult brain, expressed in ependymal cells of the lateral ventricles where expression is restricted to the ependyma that faces the stem cell niche (at protein level) (PubMed:20460439). Expressed in neurons throughout the brain including in the hippocampus, limbic cortices and cerebellum (at protein level) (PubMed:20637285). In the developing optic nerve, expressed exclusively in astrocytes at 14.5 dpc, 16.5 dpc and 18.5 dpc (at protein level) (PubMed:22354480). {ECO:0000269|PubMed:16143106, ECO:0000269|PubMed:17846082, ECO:0000269|PubMed:20460439, ECO:0000269|PubMed:20637285, ECO:0000269|PubMed:22354480}.","INDUCTION: Down-regulated in the kidney by cannabinoids, such as endocannabinoid anandamide and synthetic cannabinoid HU-210. {ECO:0000269|PubMed:22841573}.","DEVELOPMENTAL STAGE: In the developing optic nerve, more strongly expressed at 14.5 dpc and 16.5 dpc than at 18.5 dpc (at protein level) (PubMed:22354480). In the embryo, expression is detected from 7.5 dpc on the apical side of the developing neural plate and persists throughout later stages of development (PubMed:22340494). After neural tube closure at 9.5 dpc, becomes progressively restricted to the midline region (PubMed:22340494). During the estrus cycle, expression is highest in metestrus II and diestrus (PubMed:16143106). {ECO:0000269|PubMed:16143106, ECO:0000269|PubMed:22340494, ECO:0000269|PubMed:22354480}.","LOC105344512"
"533","lcl|NW_011934606.1_cds_XP_011450633.1_280","A2ARV4",102,"LRP2_MOUSE","reviewed","Low-density lipoprotein receptor-related protein 2 (LRP-2) (Glycoprotein 330) (gp330) (Megalin)","Lrp2","Mus musculus (Mouse)",4660,"TISSUE SPECIFICITY: In the inner ear, strongly expressed in the marginal cells of the stria vascularis (at protein level) (PubMed:17846082). In the female reproductive tract, expressed on the luminal side of the uterine epithelium (at protein level) (PubMed:16143106). In the adult brain, expressed in ependymal cells of the lateral ventricles where expression is restricted to the ependyma that faces the stem cell niche (at protein level) (PubMed:20460439). Expressed in neurons throughout the brain including in the hippocampus, limbic cortices and cerebellum (at protein level) (PubMed:20637285). In the developing optic nerve, expressed exclusively in astrocytes at 14.5 dpc, 16.5 dpc and 18.5 dpc (at protein level) (PubMed:22354480). {ECO:0000269|PubMed:16143106, ECO:0000269|PubMed:17846082, ECO:0000269|PubMed:20460439, ECO:0000269|PubMed:20637285, ECO:0000269|PubMed:22354480}.","INDUCTION: Down-regulated in the kidney by cannabinoids, such as endocannabinoid anandamide and synthetic cannabinoid HU-210. {ECO:0000269|PubMed:22841573}.","DEVELOPMENTAL STAGE: In the developing optic nerve, more strongly expressed at 14.5 dpc and 16.5 dpc than at 18.5 dpc (at protein level) (PubMed:22354480). In the embryo, expression is detected from 7.5 dpc on the apical side of the developing neural plate and persists throughout later stages of development (PubMed:22340494). After neural tube closure at 9.5 dpc, becomes progressively restricted to the midline region (PubMed:22340494). During the estrus cycle, expression is highest in metestrus II and diestrus (PubMed:16143106). {ECO:0000269|PubMed:16143106, ECO:0000269|PubMed:22340494, ECO:0000269|PubMed:22354480}.","LOC105344512"
"534","lcl|NW_011934606.1_cds_XP_011450633.1_280","A2ARV4",102,"LRP2_MOUSE","reviewed","Low-density lipoprotein receptor-related protein 2 (LRP-2) (Glycoprotein 330) (gp330) (Megalin)","Lrp2","Mus musculus (Mouse)",4660,"TISSUE SPECIFICITY: In the inner ear, strongly expressed in the marginal cells of the stria vascularis (at protein level) (PubMed:17846082). In the female reproductive tract, expressed on the luminal side of the uterine epithelium (at protein level) (PubMed:16143106). In the adult brain, expressed in ependymal cells of the lateral ventricles where expression is restricted to the ependyma that faces the stem cell niche (at protein level) (PubMed:20460439). Expressed in neurons throughout the brain including in the hippocampus, limbic cortices and cerebellum (at protein level) (PubMed:20637285). In the developing optic nerve, expressed exclusively in astrocytes at 14.5 dpc, 16.5 dpc and 18.5 dpc (at protein level) (PubMed:22354480). {ECO:0000269|PubMed:16143106, ECO:0000269|PubMed:17846082, ECO:0000269|PubMed:20460439, ECO:0000269|PubMed:20637285, ECO:0000269|PubMed:22354480}.","INDUCTION: Down-regulated in the kidney by cannabinoids, such as endocannabinoid anandamide and synthetic cannabinoid HU-210. {ECO:0000269|PubMed:22841573}.","DEVELOPMENTAL STAGE: In the developing optic nerve, more strongly expressed at 14.5 dpc and 16.5 dpc than at 18.5 dpc (at protein level) (PubMed:22354480). In the embryo, expression is detected from 7.5 dpc on the apical side of the developing neural plate and persists throughout later stages of development (PubMed:22340494). After neural tube closure at 9.5 dpc, becomes progressively restricted to the midline region (PubMed:22340494). During the estrus cycle, expression is highest in metestrus II and diestrus (PubMed:16143106). {ECO:0000269|PubMed:16143106, ECO:0000269|PubMed:22340494, ECO:0000269|PubMed:22354480}.","LOC105344512"
